# time                 amplitude              uBulk                  uAxis                  tauWall                
+5.9928203530431e+00   +3.7863719988928e+00   +1.6191627186450e+00   +2.7450093776665e+00   +6.9918524249926e-02   
+5.9944933905509e+00   +3.7873837775602e+00   +1.6132953827392e+00   +2.7386679535281e+00   +7.0022492671306e-02   
+5.9961664280587e+00   +3.7883932199790e+00   +1.6074270516718e+00   +2.7323248400416e+00   +7.0126417899294e-02   
+5.9978394655665e+00   +3.7894003255265e+00   +1.6015577290626e+00   +2.7259800411199e+00   +7.0230299869785e-02   
+5.9995125030744e+00   +3.7904050935814e+00   +1.5956874185321e+00   +2.7196335606768e+00   +7.0334138518698e-02   
+6.0011855405822e+00   +3.7914075235241e+00   +1.5898161237015e+00   +2.7132854026270e+00   +7.0437933781980e-02   
+6.0028585780900e+00   +3.7924076147361e+00   +1.5839438481923e+00   +2.7069355708865e+00   +7.0541685595606e-02   
+6.0045316155979e+00   +3.7934053666006e+00   +1.5780705956271e+00   +2.7005840693721e+00   +7.0645393895576e-02   
+6.0062046531057e+00   +3.7944007785020e+00   +1.5721963696286e+00   +2.6942309020018e+00   +7.0749058617917e-02   
+6.0078776906135e+00   +3.7953938498264e+00   +1.5663211738204e+00   +2.6878760726944e+00   +7.0852679698685e-02   
+6.0095507281214e+00   +3.7963845799612e+00   +1.5604450118266e+00   +2.6815195853701e+00   +7.0956257073960e-02   
+6.0112237656292e+00   +3.7973729682952e+00   +1.5545678872719e+00   +2.6751614439498e+00   +7.1059790679850e-02   
+6.0128968031370e+00   +3.7983590142188e+00   +1.5486898037816e+00   +2.6688016523554e+00   +7.1163280452491e-02   
+6.0145698406448e+00   +3.7993427171237e+00   +1.5428107649816e+00   +2.6624402145102e+00   +7.1266726328045e-02   
+6.0162428781527e+00   +3.8003240764031e+00   +1.5369307744985e+00   +2.6560771343380e+00   +7.1370128242702e-02   
+6.0179159156605e+00   +3.8013030914517e+00   +1.5310498359592e+00   +2.6497124157640e+00   +7.1473486132678e-02   
+6.0195889531683e+00   +3.8022797616655e+00   +1.5251679529915e+00   +2.6433460627142e+00   +7.1576799934217e-02   
+6.0212619906762e+00   +3.8032540864422e+00   +1.5192851292235e+00   +2.6369780791158e+00   +7.1680069583589e-02   
+6.0229350281840e+00   +3.8042260651806e+00   +1.5134013682842e+00   +2.6306084688969e+00   +7.1783295017092e-02   
+6.0246080656918e+00   +3.8051956972813e+00   +1.5075166738028e+00   +2.6242372359864e+00   +7.1886476171053e-02   
+6.0262811031996e+00   +3.8061629821461e+00   +1.5016310494094e+00   +2.6178643843146e+00   +7.1989612981824e-02   
+6.0279541407075e+00   +3.8071279191783e+00   +1.4957444987345e+00   +2.6114899178125e+00   +7.2092705385784e-02   
+6.0296271782153e+00   +3.8080905077827e+00   +1.4898570254093e+00   +2.6051138404122e+00   +7.2195753319341e-02   
