# t = +6.6921500313e-01
# r                 u_z
+7.0312500000e-02   +2.6419950043e+00   
+7.2265625000e-02   +2.6420696998e+00   
+7.4218750000e-02   +2.6421378556e+00   
+7.6171875000e-02   +2.6421987164e+00   
+7.8125000000e-02   +2.6422515001e+00   
+8.0078125000e-02   +2.6422953987e+00   
+8.2031250000e-02   +2.6423295775e+00   
+8.3984375000e-02   +2.6423531752e+00   
+8.5937500000e-02   +2.6423653044e+00   
+8.7890625000e-02   +2.6423650509e+00   
+8.9843750000e-02   +2.6423514743e+00   
+9.1796875000e-02   +2.6423236082e+00   
+9.3750000000e-02   +2.6422804604e+00   
+9.5703125000e-02   +2.6422210130e+00   
+9.7656250000e-02   +2.6421442232e+00   
+9.9609375000e-02   +2.6420490235e+00   
+1.0156250000e-01   +2.6419343224e+00   
+1.0351562500e-01   +2.6417990053e+00   
+1.0546875000e-01   +2.6416419349e+00   
+1.0742187500e-01   +2.6414619522e+00   
+1.0937500000e-01   +2.6412578778e+00   
+1.1132812500e-01   +2.6410285125e+00   
+1.1328125000e-01   +2.6407726392e+00   
+1.1523437500e-01   +2.6404890236e+00   
+1.1718750000e-01   +2.6401764160e+00   
+1.1914062500e-01   +2.6398335532e+00   
+1.2109375000e-01   +2.6394591598e+00   
+1.2304687500e-01   +2.6390519506e+00   
+1.2500000000e-01   +2.6386106321e+00   
+1.2695312500e-01   +2.6381339055e+00   
+1.2890625000e-01   +2.6376204687e+00   
+1.3085937500e-01   +2.6370690190e+00   
+1.3281250000e-01   +2.6364782557e+00   
+1.3476562500e-01   +2.6358468835e+00   
+1.3671875000e-01   +2.6351736154e+00   
+1.3867187500e-01   +2.6344571761e+00   
+1.4062500000e-01   +2.6336963056e+00   
+1.4257812500e-01   +2.6328897632e+00   
+1.4453125000e-01   +2.6320363313e+00   
+1.4648437500e-01   +2.6311348195e+00   
+1.4843750000e-01   +2.6301840696e+00   
+1.5039062500e-01   +2.6291829599e+00   
+1.5234375000e-01   +2.6281304101e+00   
+1.5429687500e-01   +2.6270253870e+00   
+1.5625000000e-01   +2.6258669093e+00   
+1.5820312500e-01   +2.6246540539e+00   
+1.6015625000e-01   +2.6233859615e+00   
+1.6210937500e-01   +2.6220618429e+00   
+1.6406250000e-01   +2.6206809856e+00   
+1.6601562500e-01   +2.6192427604e+00   
+1.6796875000e-01   +2.6177466288e+00   
+1.6992187500e-01   +2.6161921499e+00   
+1.7187500000e-01   +2.6145789881e+00   
+1.7382812500e-01   +2.6129069210e+00   
+1.7578125000e-01   +2.6111758479e+00   
